Evento,RGS,Perfil solicitado,EVC,Habilidades Técnicas,Pruebas,Medellin,Fecha Solicitud,Tipo Solicitud,Estado,Observaciones
IN1540,,DESARROLLOS BACK-END SENIOR Elixir,,,,,9/1/22,NUEVA,NO_APLICADO,4 Postulaciones pendiente retorno de pruebas
IN1529,,DESARROLLOS BACK-END SENIOR iseries,,,,,9/1/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1543,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,,,,9/1/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1501,,DESARROLLOS BACK-END SENIOR Sterling,,,,,9/1/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1548,,DESARROLLOS BACK-END SENIOR,,,,,9/1/22,NUEVA,NO_APLICADO,2 Postulaciones pendiente retorno de pruebas
IN1546,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/2/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1549,,DESARROLLOS FULL-STACK SENIOR,,,,,9/2/22,NUEVA,NO_APLICADO,7 Postulaciones pendiente retorno de pruebas
IN1482,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/2/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1508,,ARQUITECTAR NUBE SENIOR,,,,,9/2/22,NUEVA,APLICADO_PRESELECCIONADO,2 Postulaciones pendiente retorno de pruebas postulado Ian Sebastian Martinez
IN1536,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/2/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1563,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,,,,9/5/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1574,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/5/22,NUEVA,APLICADO_PRESELECCIONADO,Sin Postulaciones Aún Hugo Andres Rincon
IN1567,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,,,,9/5/22,NUEVA,NO_APLICADO,1 Postulación ok pruebas supera CTC del proyecto
IN1572,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,,,,9/5/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1583,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/5/22,REEMPLAZO,APLICADO_SELECCIONADO,Sin Postulaciones Aún   Aplicado Hugo Armando Escobar entrenamiento
IN1591,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/6/22,NUEVA,APLICADO_DESISTIDO,Sin Postulaciones Aún postular personas de entrenamiento Julian Curubo candidato renunció
IN1596,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/6/22,NUEVA,APLICADO_SELECCIONADO,Sin Postulaciones Aún postular personas de entrenamiento Nicolas Damian
IN1513,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/7/22,REEMPLAZO,APLICADO_SELECCIONADO,2 Candidatos postulados Aplicados 2 candidatos Javier Alejandro Zuleta y Cristian Forero Aprobado Cristian Forero
IN1529,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/8/22,NUEVA,CANCELADO,
IN1536,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/9/22,NUEVA,NO_APLICADO,3 Postulaciones 1 en entrevistas 2 rechazados
IN1540,,DESARROLLOS BACK-END SENIOR Elixir,,,,,9/9/22,NUEVA,APLICADO_SELECCIONADO,2 Psotulaciones 1 en entrevistas 1 pendiente retorno de pruebas Javier Augusto
IN1536,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/9/22,NUEVA,NO_APLICADO,1 Postulacion rechazada pruebas bajas
IN1536,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/9/22,NUEVA,CANCELADO,
IN1572,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,,,,9/12/22,NUEVA,NO_APLICADO,1 postulacion pendiente retorno de pruebas
IN1511,,DESARROLLOS BACK-END SEMI-SENIOR RPG-Java,,,,,9/12/22,NUEVA,NO_APLICADO,Sin postulaciones aun
IN1501,,DESARROLLOS BACK-END SENIOR Sterling,,,,,9/12/22,NUEVA,NO_APLICADO,Sin postulaciones aun
IN1621,,DESARROLLOS BACK-END SEMI-SENIOR iseries,,,,,9/12/22,NUEVA,NO_APLICADO,8 postulaciones pendiente retorno de pruebas
IN1529,,DESARROLLOS BACK-END SENIOR iseries,,,,,9/15/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1636,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/15/22,NUEVA,APLICADO_SELECCIONADO,8 Postulaciones externas 7 pendiente retorno de pruebas 1 ok para postular Javier Zuleta seleccionado Harby Torres
IN1637,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/16/22,NUEVA,APLICADO_SELECCIONADO,En proceso para realizar portulación de entrenamiento se postulan a Sergio Harby Carlos y Jose Dario
IN1595,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,,,,9/16/22,NUEVA,APLICADO_SELECCIONADO,3 Postulaciones 1 pendiente HR 2 pendiente retorno de pruebas Postulado a Julies Cordoba
IN1643,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/16/22,NUEVA,NO_APLICADO,Sin Postulaciones externas Validando candidatos de entrenamiento
IN1548,,DESARROLLOS BACK-END SENIOR,,,,,9/16/22,NUEVA,NO_APLICADO,Sin Postulaciones externas Validando candidatos de entrenamiento
IN1648,,DESARROLLOS FULL-STACK SENIOR,,,,,9/16/22,NUEVA,NO_APLICADO,Sin Postulaciones externas Validando candidatos de entrenamiento
IN1649,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/16/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1585,,DESARROLLOS BACK-END ,,,,,9/19/22,NUEVA,APLICADO_SELECCIONADO,Seleccionado de entrenamiento a Hugo Andres Rincon
IN1567,,DESARROLLOS BACK-END SEMI-SENIOR Elixir,,,,,9/20/22,NUEVA,NO_APLICADO,Sin Postulaciones
IN1608,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/20/22,NUEVA,NO_APLICADO,3 postulaciones 2 no contestaron pruebas 1 pendiente retorno de pruebas
IN1659,,DESARROLLOS MOBILE SEMI-SENIOR,,,,,9/20/22,REEMPLAZO,NO_APLICADO,3 Postulaciones 1 no disponible 1 feedback malo de cliente 1 genera alta dispensación
IN1663,,DESARROLLOS BACK-END SENIOR,,,,,9/20/22,NUEVA,NO_APLICADO,Sin Postulaciones aun
IN1614,,DESARROLLOS FULL-STACK SENIOR,,,,,9/21/22,NUEVA,NO_APLICADO,2 Postulaciones pendiente retorno de pruebas
IN1529,,DESARROLLOS BACK-END SENIOR Iseries,,,,,9/22/22,NUEVA,NO_APLICADO,
IN1670,,ARQUITECTAR NUBE SENIOR,,,,,9/22/22,NUEVA,NO_APLICADO,3 Postulaciones 2 pendiente retorno de pruebas 1 candidato interno
IN1669,,DESARROLLOS BACK-END SEMI-SENIOR,,,,,9/22/22,NUEVA,NO_APLICADO,Sin postulaciones
IN1668,,DESARROLLOS FULL-STACK SEMI-SENIOR,,,,,9/22/22,NUEVA,APLICADO_SELECCIONADO,Sin postulaciones   Postulación de entrenamiento   Felix Gabriel Muñoz Vidal
